"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"8710000US2140729","ZCTA5 40729, Kentucky","5485"
"8710000US2140734","ZCTA5 40734, Kentucky","3764"
"8710000US2140737","ZCTA5 40737, Kentucky","1379"
"8710000US2140740","ZCTA5 40740, Kentucky","3321"
"8710000US2140741","ZCTA5 40741, Kentucky","21875"
"8710000US2140743","ZCTA5 40743, Kentucky","229"
"8710000US2140744","ZCTA5 40744, Kentucky","18334"
"8710000US2140759","ZCTA5 40759, Kentucky","2531"
"8710000US2140763","ZCTA5 40763, Kentucky","469"
"8710000US2140769","ZCTA5 40769, Kentucky","18507"
"8710000US2140771","ZCTA5 40771, Kentucky","1068"
"8710000US2140801","ZCTA5 40801, Kentucky","531"
"8710000US2140806","ZCTA5 40806, Kentucky","2499"
"8710000US2140807","ZCTA5 40807, Kentucky","337"
"8710000US2140808","ZCTA5 40808, Kentucky","99"
"8710000US2140810","ZCTA5 40810, Kentucky","1548"
"8710000US2140813","ZCTA5 40813, Kentucky","669"
"8710000US2140815","ZCTA5 40815, Kentucky","1534"
"8710000US2140816","ZCTA5 40816, Kentucky","78"
"8710000US2140818","ZCTA5 40818, Kentucky","110"
"8710000US2140819","ZCTA5 40819, Kentucky","729"
"8710000US2140820","ZCTA5 40820, Kentucky","581"
"8710000US2140823","ZCTA5 40823, Kentucky","4231"
"8710000US2140824","ZCTA5 40824, Kentucky","559"
"8710000US2140826","ZCTA5 40826, Kentucky","759"
"8710000US2140827","ZCTA5 40827, Kentucky","674"
"8710000US2140828","ZCTA5 40828, Kentucky","3965"
"8710000US2140829","ZCTA5 40829, Kentucky","172"
"8710000US2140830","ZCTA5 40830, Kentucky","301"
"8710000US2140831","ZCTA5 40831, Kentucky","5150"
"8710000US2140840","ZCTA5 40840, Kentucky","312"
"8710000US2140843","ZCTA5 40843, Kentucky","259"
"8710000US2140844","ZCTA5 40844, Kentucky","123"
"8710000US2140845","ZCTA5 40845, Kentucky","635"
"8710000US2140847","ZCTA5 40847, Kentucky","261"
"8710000US2140849","ZCTA5 40849, Kentucky","352"
"8710000US2140854","ZCTA5 40854, Kentucky","1213"
"8710000US2140855","ZCTA5 40855, Kentucky","860"
"8710000US2140856","ZCTA5 40856, Kentucky","756"
"8710000US2140858","ZCTA5 40858, Kentucky","397"
"8710000US2140862","ZCTA5 40862, Kentucky","647"
"8710000US2140863","ZCTA5 40863, Kentucky","502"
"8710000US2140865","ZCTA5 40865, Kentucky","410"
"8710000US2140868","ZCTA5 40868, Kentucky","1100"
"8710000US2140870","ZCTA5 40870, Kentucky","279"
"8710000US2140873","ZCTA5 40873, Kentucky","2390"
"8710000US2140874","ZCTA5 40874, Kentucky","504"
"8710000US2140902","ZCTA5 40902, Kentucky","1239"
"8710000US2140903","ZCTA5 40903, Kentucky","681"
"8710000US2140906","ZCTA5 40906, Kentucky","11132"
"8710000US2140913","ZCTA5 40913, Kentucky","171"
"8710000US2140914","ZCTA5 40914, Kentucky","467"
"8710000US2140915","ZCTA5 40915, Kentucky","896"
"8710000US2140921","ZCTA5 40921, Kentucky","295"
"8710000US2140923","ZCTA5 40923, Kentucky","735"
"8710000US2140927","ZCTA5 40927, Kentucky","482"
"8710000US2140935","ZCTA5 40935, Kentucky","2699"
"8710000US2140939","ZCTA5 40939, Kentucky","273"
"8710000US2140940","ZCTA5 40940, Kentucky","478"
"8710000US2140941","ZCTA5 40941, Kentucky","251"
"8710000US2140943","ZCTA5 40943, Kentucky","748"
"8710000US2140946","ZCTA5 40946, Kentucky","220"
"8710000US2140949","ZCTA5 40949, Kentucky","788"
"8710000US2140953","ZCTA5 40953, Kentucky","998"
"8710000US2140958","ZCTA5 40958, Kentucky","451"
"8710000US2140962","ZCTA5 40962, Kentucky","19143"
"8710000US2140964","ZCTA5 40964, Kentucky","151"
"8710000US2140965","ZCTA5 40965, Kentucky","13570"
"8710000US2140972","ZCTA5 40972, Kentucky","1327"
"8710000US2140977","ZCTA5 40977, Kentucky","10362"
"8710000US2140979","ZCTA5 40979, Kentucky","148"
"8710000US2140982","ZCTA5 40982, Kentucky","388"
"8710000US2140983","ZCTA5 40983, Kentucky","352"
"8710000US2140988","ZCTA5 40988, Kentucky","555"
