,zip_code,population
861,65550,1593
862,65552,911
863,65555,565
864,65556,2716
865,65557,76
866,65559,4057
867,65560,6742
868,65564,93
869,65565,2797
870,65566,376
871,65567,578
872,65570,242
873,65571,1045
874,65580,413
875,65582,1163
876,65583,4992
877,65584,4165
878,65586,28
879,65588,1213
880,65589,90
881,65590,583
882,65591,668
883,65601,440
884,65603,131
885,65604,1625
886,65605,5451
887,65606,1765
888,65608,4462
889,65609,365
890,65610,2161
891,65611,1409
892,65612,596
893,65613,7269
894,65614,271
895,65616,15673
896,65617,667
897,65618,94
898,65619,3048
899,65620,102
900,65622,3980
901,65623,13
902,65624,1046
903,65625,3750
904,65626,814
905,65627,491
906,65629,277
907,65630,138
908,65631,1864
909,65632,1239
910,65633,1788
911,65634,461
912,65635,288
913,65637,575
914,65638,263
915,65640,362
916,65641,956
917,65644,1197
918,65646,954
919,65647,1022
920,65648,2326
921,65649,779
922,65650,1013
923,65652,1491
924,65653,2930
925,65654,89
926,65655,1579
927,65656,2836
928,65657,39
929,65658,971
930,65660,90
931,65661,1392
932,65662,591
933,65663,1004
934,65664,78
935,65667,1620
936,65668,1101
937,65669,859
938,65672,4700
939,65674,1321
940,65676,319
941,65679,1220
942,65680,612
943,65681,1648
944,65682,921
945,65685,423
946,65686,3461
947,65689,2312
948,65690,169
949,65692,634
950,65702,213
951,65704,1854
952,65705,1786
953,65706,6083
954,65707,1052
955,65708,5298
956,65710,520
957,65711,4600
958,65712,3608
959,65713,1156
960,65714,12114
961,65715,46
962,65717,1099
963,65720,285
964,65721,11646
965,65722,800
966,65723,1552
967,65724,1574
968,65725,1046
969,65727,93
970,65728,28
971,65729,226
972,65730,108
973,65731,145
974,65732,427
975,65733,370
976,65734,1480
977,65735,79
978,65737,5212
979,65738,7271
980,65739,863
981,65740,1795
982,65742,4691
983,65744,68
984,65745,1179
985,65746,2802
986,65747,3342
987,65752,202
988,65753,2066
989,65754,374
990,65755,260
991,65756,323
992,65757,2850
993,65759,605
994,65760,447
995,65761,942
996,65762,243
997,65764,561
998,65766,124
999,65767,1124
1000,65768,238
1001,65769,1208
1002,65770,1295
1003,65771,569
1004,65772,911
1005,65773,368
1006,65774,481
1007,65775,11035
1008,65777,159
1009,65778,309
1010,65779,1687
1011,65781,3365
1012,65783,104
1013,65784,15
1014,65785,2858
1015,65786,1103
1016,65787,1489
1017,65788,173
1018,65789,905
1019,65790,330
1020,65791,2268
1021,65793,2912
1022,65802,19682
1023,65803,18732
1024,65804,18923
1025,65806,6008
1026,65807,25655
1027,65809,4629
1028,65810,8789
1029,72644,10
